127.0.0.1 - - [22/Apr/2021:08:29:48 +0700] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [22/Apr/2021:08:30:05 +0700] "GET /spring_mvc/trang-chu HTTP/1.1" 200 16853
0:0:0:0:0:0:0:1 - - [22/Apr/2021:08:30:05 +0700] "GET /spring_mvc/template/web/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Apr/2021:08:30:05 +0700] "GET /spring_mvc/template/web/download/FileSaver.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Apr/2021:08:30:06 +0700] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [22/Apr/2021:08:30:16 +0700] "POST /spring_mvc/api/user1 HTTP/1.1" 200 64148
0:0:0:0:0:0:0:1 - - [22/Apr/2021:08:30:26 +0700] "POST /spring_mvc/api/user1 HTTP/1.1" 200 4396
0:0:0:0:0:0:0:1 - - [22/Apr/2021:08:30:34 +0700] "GET /spring_mvc/trang-chu/test HTTP/1.1" 200 17223
0:0:0:0:0:0:0:1 - - [22/Apr/2021:08:30:36 +0700] "POST /spring_mvc/api/user1 HTTP/1.1" 500 6998
0:0:0:0:0:0:0:1 - - [22/Apr/2021:08:30:43 +0700] "POST /spring_mvc/api/user1 HTTP/1.1" 500 6998
0:0:0:0:0:0:0:1 - - [22/Apr/2021:08:30:48 +0700] "GET /spring_mvc/trang-chu HTTP/1.1" 200 16853
0:0:0:0:0:0:0:1 - - [22/Apr/2021:08:30:51 +0700] "POST /spring_mvc/api/user1 HTTP/1.1" 200 64148
0:0:0:0:0:0:0:1 - - [22/Apr/2021:08:30:56 +0700] "GET /spring_mvc/trang-chu HTTP/1.1" 200 16853
0:0:0:0:0:0:0:1 - - [22/Apr/2021:08:42:09 +0700] "POST /spring_mvc/api/user1 HTTP/1.1" 200 64148
0:0:0:0:0:0:0:1 - - [22/Apr/2021:08:42:38 +0700] "POST /spring_mvc/api/user1 HTTP/1.1" 200 4396
0:0:0:0:0:0:0:1 - - [22/Apr/2021:10:03:52 +0700] "GET /spring_mvc/trang-chu HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Apr/2021:10:03:53 +0700] "GET /spring_mvc/dang-nhap?sessionTimeout HTTP/1.1" 200 1265
0:0:0:0:0:0:0:1 - - [22/Apr/2021:10:03:58 +0700] "GET /spring_mvc/trang-chu HTTP/1.1" 200 16853
0:0:0:0:0:0:0:1 - - [22/Apr/2021:10:04:12 +0700] "POST /spring_mvc/api/user1 HTTP/1.1" 200 64148
0:0:0:0:0:0:0:1 - - [22/Apr/2021:10:04:32 +0700] "POST /spring_mvc/api/user1 HTTP/1.1" 200 6544
