127.0.0.1 - - [18/Apr/2021:12:39:46 +0700] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [18/Apr/2021:12:40:13 +0700] "GET /spring_mvc/trang-chu HTTP/1.1" 200 33836
0:0:0:0:0:0:0:1 - - [18/Apr/2021:12:40:13 +0700] "GET /spring_mvc/trang-chu HTTP/1.1" 200 8206
0:0:0:0:0:0:0:1 - - [18/Apr/2021:12:40:14 +0700] "GET /spring_mvc/template/web/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Apr/2021:12:40:14 +0700] "GET /spring_mvc/template/web/download/FileSaver.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Apr/2021:12:40:15 +0700] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [18/Apr/2021:12:40:21 +0700] "POST /spring_mvc/api/user1 HTTP/1.1" 400 762
0:0:0:0:0:0:0:1 - - [18/Apr/2021:12:40:35 +0700] "POST /spring_mvc/api/user1 HTTP/1.1" 200 64148
0:0:0:0:0:0:0:1 - - [18/Apr/2021:12:40:44 +0700] "GET /spring_mvc/trang-chu HTTP/1.1" 200 33836
0:0:0:0:0:0:0:1 - - [18/Apr/2021:12:40:51 +0700] "GET /spring_mvc/template/web/download/FileSaver.min.js.map HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [18/Apr/2021:12:42:43 +0700] "GET /spring_mvc/trang-chu HTTP/1.1" 200 33860
0:0:0:0:0:0:0:1 - - [18/Apr/2021:12:42:44 +0700] "GET /spring_mvc/template/web/download/FileSaver.min.js.map HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [18/Apr/2021:12:42:52 +0700] "POST /spring_mvc/api/user1 HTTP/1.1" 400 762
0:0:0:0:0:0:0:1 - - [18/Apr/2021:12:49:23 +0700] "GET /spring_mvc/trang-chu HTTP/1.1" 200 14337
0:0:0:0:0:0:0:1 - - [18/Apr/2021:12:51:28 +0700] "GET /spring_mvc/trang-chu HTTP/1.1" 200 14505
0:0:0:0:0:0:0:1 - - [18/Apr/2021:12:52:48 +0700] "GET /spring_mvc/trang-chu HTTP/1.1" 200 14511
0:0:0:0:0:0:0:1 - - [18/Apr/2021:12:52:53 +0700] "GET /favicon.ico HTTP/1.1" 404 762
